PERSON,GPE
bernard kouchner,france
bernard kouchner,syria
nicolas sarkozy,syria
mary lou mcdonald,ireland
sinn fein,ireland
michael schumacher,switzerland
jan ullrich,switzerland
phil collins,switzerland
tina turner,switzerland
the united states,switzerland
michael schumacher,germany
michael schumacher,england
jan ullrich,germany
jan ullrich,england
phil collins,germany
tina turner,germany
the united states,germany
françois mitterrand,france
papon,france
vichy,france
royal,france
luciano berio,italy
luigi dallapiccola,italy
franco donatoni,italy
alejandro gonzález iñárritu,japan
alejandro gonzález iñárritu,mexico
berber,mexico
rinko kikuchi,japan
rinko kikuchi,mexico
adriana barraza,japan
adriana barraza,mexico
alessandro profumo,italy
chris guccione,australia
rochus,australia
olivier,australia
óscar arias,venezuela
costa rica 's,venezuela
chávez,venezuela
costa rica 's,costa rica
chávez,costa rica
óscar arias,costa rica
carl friedrich von weizsäcker,germany
hong kong,malaysia
kazakhstan,malaysia
hollywood,malaysia
hong kong,singapore
kazakhstan,singapore
hollywood,singapore
giovanni segantini,italy
emilio longoni,italy
angelo morbelli,italy
vittore grubicy de dragon,italy
josé luis rodríguez zapatero,italy
romano prodi,spain
romano prodi,italy
rice,spain
josé luis rodríguez zapatero,spain
juan carlos,spain
explorer,france
explorer,switzerland
explorer,france
alps,france
normandy,france
paris,france
normandy,switzerland
paris,switzerland
normandy,france
paris,france
bush,canada
felipe calderón,canada
stephen harper,mexico
stephen harper,canada
stephen harper,canada
stephen harper,canada
stephen harper,canada
mario soldati,italy
jennifer chiu,canada
david emerson,canada
abbas,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
abdullah,israel
ehud olmert,israel
ehud olmert,jordan
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
tzipi livni,israel
ehud olmert,israel
abbas,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,lebanon
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
mahmoud ahmadinejad,saudi arabia
ehud olmert,saudi arabia
king abdullah,israel
mahmoud ahmadinejad,israel
ehud olmert,israel
king abdullah,israel
mahmoud ahmadinejad,iran
ehud olmert,iran
mahmoud ahmadinejad,israel
ehud olmert,israel
ehud olmert,israel
hosseini,israel
ehud olmert,iran
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
olmert,israel
ehud olmert,israel
tzipi livni,israel
ehud olmert,israel
abbas,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,egypt
abbas,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
olmert,israel
tzipi livni,israel
ehud olmert,israel
ehud olmert,israel
abu mazen,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,lebanon
ehud olmert,israel
amir peretz,israel
miri eisin,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
rice,israel
ehud olmert,israel
ehud olmert,israel
moshe katsav,israel
katsav,israel
abbas,israel
ehud olmert,israel
miri eisin,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,jordan
ehud olmert,israel
ehud olmert,russia
abbas,israel
ehud olmert,israel
ehud olmert,israel
assad,israel
ehud olmert,israel
ehud olmert,israel
hosni mubarak,israel
ehud olmert,egypt
mahmoud abbas,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
meridor,israel
meridor,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
olmert,israel
ehud olmert,israel
makovsky,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,syria
ehud olmert,israel
ehud olmert,lebanon
david baker,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert 's,iraq
ehud olmert,israel
ehud olmert,egypt
hosni mubarak,israel
hosni mubarak,egypt
ehud olmert,israel
gates,israel
ehud olmert,israel
ehud olmert,israel
moshe katsav,israel
katsav,israel
ehud olmert,israel
hirchson,israel
ariel sharon 's,israel
gaza,israel
ehud olmert,israel
the west bank,israel
moshe katsav,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
ehud olmert,israel
tzipi livni,israel
aroon purie,india
bhutto,india
yitzhak rabin,israel
ariel sharon,israel
ezer weizman,israel
yitzhak rabin,israel
levi eshkol,israel
götz aly 's,germany
hitler,germany
david altmejd 's,canada
richard pearshouse,canada
omotayo wunmi olaiya,nigeria
femi kuti,nigeria
ségolène royal,france
nicolas sarkozy,france
ségolène royal,france
ségolène royal,france
ségolène royal,france
nicolas sarkozy,france
nicolas sarkozy,france
ségolène royal,france
nicolas sarkozy,france
ségolène royal,france
eric dupin,france
ségolène royal,france
levi eshkol,israel
levi eshkol,israel
portland,canada
oregon,canada
kian tajbakhsh,iran
parnaz azima,iran
hermann göring,germany
hitler,germany
albert speer,germany
hitler,germany
julius streicher,germany
der sturmer,germany
c. j. 's,china
janine,china
demetria mckinney,china
malik,china
larramie doc shaw,china
jazmine,china
anne mcclain,china
damascus,iran
damascus,syria
alon liel,israel
dan meridor,israel
alon liel,israel
dan meridor,israel
alain mabanckou,canada
alain mabanckou,cameroon
nancy huston,canada
nancy huston,cameroon
léonora miano,canada
léonora miano,cameroon
andré desmarais,canada
trevor manuel,south africa
wolfowitz,south africa
amitabh bachchan,india
ratan tata,india
nadine gordimer,south africa
nadine gordimer,south africa
renaud donnedieu de vabres,france
renaud donnedieu de vabres,france
georges pompidou,france
corrèze,france
laure manaudou,france
laure manaudou,france
josé maría aznar,spain
kim kirchen,spain
luxembourg,spain
katarzyna figura,poland
jürgen klinsmann,germany
mariano rajoy,spain
mariano rajoy,spain
antonio stradivari,italy
rajiv gandhi,cambodia
east timor,india
sonia gandhi,india
rajiv gandhi,india
gaël monfils,serbia
tomas berdych,serbia
andy murray,serbia
britain,serbia
rafael nadal,serbia
richard gasquet,france
richard gasquet,spain
gaël monfils,france
gaël monfils,spain
tomas berdych,france
rafael nadal,france
tomas berdych,spain
rafael nadal,spain
gaël monfils,france
marcos baghdatis,france
tommy haas,germany
tommy haas,chile
fernando gonzález,germany
fernando gonzález,chile
sarah jamieson,australia
sarah jamieson,canada
monica hargrove,australia
jenn stuczynski,australia
